id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,29,30,40.71000700,19.94577900,1,72,42,0,1039,1
2,Dibër,17,18,41.59991200,20.26165100,0,47,28,0,409,2
3,Durrës,230,205,41.33054100,19.46326500,12,753,504,3,4158,19
4,Elbasan,48,45,41.11456500,20.08415200,3,116,64,0,1209,5
5,Fier,72,49,40.72902000,19.56091000,8,216,138,1,2288,6
6,Gjirokastër,21,17,40.07869700,20.13633000,1,46,25,1,1158,0
7,Korçe,67,68,40.61812600,20.77752800,1,130,59,0,852,3
8,Kukës,44,36,42.07545200,20.42317600,1,148,100,0,1039,4
9,Lezhë,83,73,41.78537300,19.64099400,8,224,139,3,1711,2
10,Shkodër,198,197,42.06776800,19.51425000,3,528,308,3,2946,22
11,Tiranë,1082,997,41.33278100,19.81696400,51,2402,1244,8,15761,76
12,Vlorë,100,97,40.46778700,19.48373700,3,198,94,0,1907,4