Date,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,O'Higgins,Maule,Biobío,Araucanía,Los Lagos,Aysén,Magallanes,Santiago Metropolitan,Los Ríos,Arica y Parinacota,Ñuble
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
2020-03-26,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
2020-03-27,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0
2020-03-28,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0
2020-03-29,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0
2020-03-30,0,0,0,0,0,0,1,2,2,0,0,0,3,0,0,0
2020-03-31,0,0,0,0,1,0,1,2,4,0,0,0,4,0,0,0
2020-04-01,0,0,0,0,1,0,1,2,6,0,0,0,5,1,0,0
2020-04-02,0,0,0,0,1,0,1,2,7,0,0,0,6,1,0,0
2020-04-03,0,0,0,0,1,0,1,2,7,0,0,1,8,1,0,1
2020-04-04,0,0,0,0,1,0,1,2,9,0,0,2,9,1,0,2
2020-04-05,0,0,0,0,1,0,1,2,13,1,0,2,10,1,0,3
2020-04-06,0,0,0,0,1,0,1,2,14,2,0,2,10,1,0,4
2020-04-07,0,1,0,0,1,0,2,2,14,2,0,2,12,2,0,5
2020-04-08,0,1,0,0,2,0,2,2,15,2,0,3,14,2,0,5
2020-04-09,0,1,0,0,2,0,2,2,16,2,0,3,21,2,0,6
2020-04-10,0,1,0,0,2,0,2,2,16,2,0,3,29,2,0,6
2020-04-11,0,1,0,0,2,0,3,2,17,5,0,3,32,2,0,6
2020-04-12,0,1,0,0,2,0,3,2,17,5,0,4,35,3,1,7
2020-04-13,0,1,0,0,2,0,3,2,17,5,0,5,36,3,1,7
2020-04-14,0,1,0,0,2,0,4,2,20,5,0,6,40,3,1,8
2020-04-15,0,1,0,0,2,0,4,2,21,5,0,6,41,3,1,8
2020-04-16,0,1,0,0,4,0,4,2,21,5,0,6,48,3,1,10
2020-04-17,0,1,0,0,4,0,7,3,22,6,0,6,51,3,2,11
2020-04-18,0,1,0,0,4,0,8,3,23,6,0,6,58,3,2,12
2020-04-19,0,1,0,0,5,0,8,3,23,6,0,6,63,3,2,13
2020-04-20,0,1,0,0,5,0,10,3,23,6,0,6,67,3,2,13
2020-04-21,0,1,0,0,6,1,10,4,25,6,0,7,69,3,2,13
2020-04-22,0,2,0,0,7,1,10,5,26,6,0,7,78,3,2,13
2020-04-23,0,2,0,0,7,1,10,5,26,7,0,7,85,3,2,13
2020-04-24,0,2,0,0,8,1,10,5,26,8,0,8,86,3,3,14
2020-04-25,1,3,0,0,9,1,10,5,27,8,0,8,89,3,3,14
2020-04-26,1,4,0,0,9,1,11,6,29,8,0,9,91,3,3,14
2020-04-27,1,4,0,0,9,1,12,6,32,8,0,10,95,3,3,14
2020-04-28,1,4,0,0,10,1,12,7,32,9,0,10,100,4,3,14
2020-04-29,1,4,0,0,12,1,13,7,32,9,0,11,104,4,4,14
2020-04-30,1,5,0,0,12,1,13,7,35,10,0,11,110,4,4,14
2020-05-01,1,7,0,0,12,1,13,7,36,10,0,11,114,4,4,14
2020-05-02,1,7,0,0,13,3,13,7,36,10,0,11,122,4,4,16
2020-05-03,1,7,0,0,13,3,13,7,36,10,0,11,135,4,4,16
2020-05-04,1,7,0,0,13,3,13,8,36,10,0,11,143,4,4,17
2020-05-05,1,7,0,0,15,3,13,8,36,10,0,11,146,4,4,17
2020-05-06,1,7,0,0,16,3,13,8,36,10,0,11,150,4,5,17
2020-05-07,1,7,0,0,17,3,13,8,36,10,0,11,152,4,6,17
2020-05-08,1,9,0,0,18,3,13,8,36,10,0,11,157,4,6,18
2020-05-09,1,10,0,0,19,3,14,8,36,10,0,11,163,5,6,18
2020-05-10,1,10,0,1,20,3,14,8,37,10,0,13,166,5,6,18
2020-05-11,1,10,0,1,21,4,14,8,38,10,0,14,172,5,7,18
2020-05-12,1,10,0,1,23,4,14,9,39,11,0,14,178,5,7,19
2020-05-13,1,11,0,1,24,4,14,9,39,11,0,16,184,6,7,19
2020-05-14,1,11,0,1,25,4,14,9,41,11,0,16,202,6,7,20
2020-05-15,2,12,0,1,27,5,14,9,43,11,0,16,221,6,7,20
2020-05-16,2,12,0,2,28,5,14,9,43,11,0,16,246,6,7,20
2020-05-17,4,13,0,2,29,5,14,9,44,11,0,16,270,6,7,20
2020-05-18,4,14,0,2,30,6,14,9,44,11,0,16,294,6,7,21
2020-05-19,4,16,0,2,32,7,14,9,44,12,0,17,318,6,7,21
2020-05-20,4,17,0,2,35,7,14,9,44,12,0,18,348,6,7,21
2020-05-21,4,17,0,2,38,7,15,9,44,13,0,18,388,6,7,21
2020-05-22,5,17,0,2,40,8,15,10,45,13,0,18,423,6,7,21
2020-05-23,5,21,0,2,44,11,15,10,45,13,0,18,455,6,7,21
2020-05-24,7,21,0,2,48,11,15,10,45,13,0,18,494,6,7,21
2020-05-25,7,21,0,2,53,13,15,10,45,13,0,18,529,6,7,22
2020-05-26,8,23,0,2,57,13,15,10,45,13,0,18,567,6,7,22
2020-05-27,11,25,0,2,58,14,15,10,45,13,0,18,595,6,7,22
2020-05-28,12,28,0,2,60,14,15,10,45,13,0,18,638,6,7,22
2020-05-29,14,28,0,2,61,14,15,11,47,13,0,19,685,6,7,22
2020-05-30,18,29,0,2,63,16,15,11,47,13,0,19,728,6,7,23
2020-05-31,21,31,0,2,66,18,15,11,47,13,0,19,775,6,7,23
2020-06-01,22,32,0,2,70,18,17,11,47,13,0,19,824,7,8,23
2020-06-02,23,34,0,2,72,18,17,11,47,13,0,19,894,7,8,23
2020-06-03,28,36,0,4,77,20,19,11,47,13,0,19,961,8,8,24
2020-06-04,28,38,0,4,78,21,21,13,47,13,0,19,1034,8,8,24
2020-06-05,28,42,0,5,88,22,24,13,48,13,0,19,1105,8,9,24
2020-06-06,30,47,0,5,91,25,24,13,49,13,0,19,1184,8,9,24
2020-06-07,32,47,0,5,93,25,24,13,50,13,0,19,1273,8,10,25
2020-06-08,35,45,0,5,85,22,18,11,32,12,0,15,1950,8,8,18
2020-08-02,170,353,13,74,513,244,182,120,79,42,1,28,7649,14,63,62
2020-08-03,173,358,13,75,522,252,193,124,79,42,1,29,7700,14,68,63
2020-08-04,173,358,14,75,522,252,193,125,79,43,1,29,7735,14,68,63
2020-08-05,173,361,14,76,524,252,193,127,79,43,1,29,7774,14,68,63
2020-08-06,177,367,16,80,542,260,195,131,81,49,1,29,7808,14,73,65
2020-08-07,178,372,19,81,547,263,197,132,82,51,1,30,7847,15,74,68
2020-08-08,180,376,19,83,551,265,204,135,83,52,1,30,7871,15,76,69
2020-08-09,181,378,19,84,564,270,203,139,83,54,1,30,7909,15,77,69
2020-08-10,182,381,21,86,569,280,203,140,83,54,1,30,7946,15,78,69
2020-08-11,182,387,21,89,569,281,203,143,83,54,1,30,7972,15,78,69
2020-08-12,182,388,21,89,573,281,203,145,83,54,1,30,7992,15,78,69
2020-08-13,185,392,23,93,592,290,215,152,83,54,1,30,8023,15,80,70
2020-08-14,185,394,24,94,595,295,216,154,84,56,1,30,8044,15,81,71
2020-08-15,185,399,26,95,600,299,218,156,85,56,1,30,8074,15,82,73
2020-08-16,186,403,29,98,607,301,219,157,86,56,1,30,8105,15,85,73
2020-08-17,186,407,29,100,616,304,225,160,86,57,1,30,8138,15,85,73
2020-08-18,186,410,29,101,617,304,230,161,86,57,1,30,8160,15,85,73
