date_report,time_report,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong City,Gyeonggi-do,Gangwon-do,Chungcheongbuk-do,Chungcheongnam-do,Jeollabuk-do,Jeollanam-do,Gyeongsangbuk-do,Gyeongsangnam-do,Jeju-do,entry screening,total
2020-01-20,,,,,1,,,,,,,,,,,,,,,1
2020-01-21,,,,,,,,,,,,,,,,,,,,0
2020-01-22,,,,,,,,,,,,,,,,,,,,0
2020-01-23,,,,,,,,,,,,,,,,,,,,0
2020-01-24,,1,,,,,,,,,,,,,,,,,,1
2020-01-25,,,,,,,,,,,,,,,,,,,,0
2020-01-26,,,,,,,,,,1,,,,,,,,,,1
2020-01-27,,,,,,,,,,1,,,,,,,,,,1
2020-01-28,,,,,,,,,,,,,,,,,,,,0
2020-01-29,,,,,,,,,,,,,,,,,,,,0
2020-01-30,,3,,,,,,,,,,,,,,,,,,3
2020-01-31,,3,,,,,,,,,,,,1,,,,,,4
2020-02-01,,,,,,,,,,1,,,,,,,,,,1
2020-02-02,,1,,,,,,,,2,,,,,,,,,,3
2020-02-03,,,,,,,,,,,,,,,,,,,,0
2020-02-04,,,,,,1,,,,,,,,,,,,,,1
2020-02-05,,2,,,,1,,,,2,,,,,,,,,,5
2020-02-06,,2,,,,,,,,,,,,,1,,,,,3
2020-02-07,,,,,,,,,,,,,,,,,,,,0
2020-02-08,,,,,,,,,,,,,,,,,,,,0
2020-02-09,,,,,,,,,,3,,,,,,,,,,3
2020-02-10,,,,,,,,,,1,,,,,,,,,,1
2020-02-11,,,,,,,,,,,,,,,,,,,,0
2020-02-12,,,,,,,,,,,,,,,,,,,,0
2020-02-13,,,,,,,,,,,,,,,,,,,,0
2020-02-14,,,,,,,,,,,,,,,,,,,,0
2020-02-15,,,,,,,,,,,,,,,,,,,,0
2020-02-16,,2,,,,,,,,,,,,,,,,,,2
2020-02-17,,,,,,,,,,,,,,,,,,,,0
2020-02-18,9:00,,,1,,,,,,,,,,,,,,,,1
2020-02-19,9:00,1,,10,,,,,,1,,,,,,3,,,,15
2020-02-19,16:00,,,5,,,,,,,,,,,,,,,,5
2020-02-20,9:00,1,,23,,,,,,,,,,,,7,,,,31
2020-02-20,16:00,1,,7,,,,,,,,,,,,14,,,,22
2020-02-21,9:00,3,,38,,1,,,,1,,1,1,1,,3,2,1,,52
2020-02-21,16:00,2,,42,,1,,,,1,,,,,,,2,,,48
2020-02-22,9:00,,2,28,,1,1,,1,2,,2,,1,,103,,1,,142
2020-02-22,16:00,3,1,55,,2,1,1,,4,5,,,,1,14,,,,87
2020-02-23,9:00,,2,93,,1,,,,2,,,,,,20,4,1,,123
2020-02-23,16:00,1,6,24,,1,1,,,2,,,,,,5,6,,,46
2020-02-24,9:00,3,2,131,,1,,,,10,,,,,,11,3,,,161
2020-02-24,16:00,1,13,42,,,,1,,1,,,,,,12,,,,70
2020-02-25,9:00,2,3,16,,,,,,5,,,,,,33,1,,,60
2020-02-25,16:00,4,5,44,,,,1,,2,,2,1,,,23,2,,,84
2020-02-26,9:00,4,8,134,1,,,,,1,,,,,,19,2,,,169
2020-02-26,16:00,4,8,33,,,2,1,,8,,,1,,,49,9,,,115
2020-02-27,9:00,6,,307,,,3,2,,4,,2,4,,,4,2,,,334
2020-02-27,16:00,1,3,115,,,1,5,,7,,1,5,2,,24,7,,,171
2020-02-28,9:00,6,2,182,1,,4,,,4,,1,4,,,49,3,,,256
2020-02-28,16:00,,2,265,,,1,3,,6,1,,19,,,15,3,,,315
2020-02-29,9:00,12,12,476,2,,,3,,4,,1,13,,1,60,10,,,594
2020-02-29,16:00,3,3,181,,,-1,,,6,,,7,,1,19,,,,219
2020-03-01,9:00,5,1,333,,,,,,2,,1,5,,,26,3,,,376
2020-03-01,16:00,5,2,136,,,,3,,5,8,,8,1,,41,1,,,210
2020-03-02,0:00,4,5,377,1,,1,,,3,4,,10,,2,68,1,,,476
2020-03-03,0:00,7,2,520,,2,,,,2,1,,3,,1,61,,1,,600
2020-03-04,0:00,1,3,405,2,2,1,3,,7,1,,1,,,89,1,,,516
2020-03-05,0:00,4,-1,321,,1,1,,,9,2,1,4,,-1,87,9,1,,438
2020-03-06,0:00,2,3,367,,-1,2,,,10,2,3,4,,,123,3,,,518
2020-03-07,0:00,3,1,390,,,,,1,10,1,5,2,,,65,5,,,483
2020-03-08,0:00,12,1,297,,,,1,1,11,1,4,6,,,32,1,,,367
2020-03-09,0:00,10,-1,190,,2,1,,3,11,1,1,4,,,26,,,,248
2020-03-10,0:00,11,,92,4,,-1,,2,11,,,2,,,10,,,,131
2020-03-11,0:00,52,2,131,12,,,1,2,12,1,2,8,,,18,1,,,242
2020-03-12,0:00,19,1,73,,,2,,5,3,,,2,,,8,1,,,114
2020-03-13,0:00,13,1,61,2,,2,2,17,7,,,1,,,4,,,,110
2020-03-14,0:00,13,3,62,1,,,,6,15,,1,,,,6,,,,107
2020-03-15,0:00,9,3,41,2,1,,1,1,11,,3,,,,4,,,,76
2020-03-16,0:00,6,1,35,,,,,1,20,,,,,,7,,,4,74
2020-03-17,0:00,12,,32,1,,,,,31,,,,,,5,1,,2,84
2020-03-18,0:00,5,,46,1,1,,2,1,15,1,1,3,2,1,9,,,5,93
2020-03-19,0:00,12,,97,,,,6,,18,,1,,1,,12,,,5,152
2020-03-20,0:00,17,1,34,4,1,,,,14,,,1,,,13,1,,1,87
2020-03-21,0:00,15,,69,4,,,,,12,,1,,,,40,,,6,147
2020-03-22,0:00,10,,43,,1,2,,,16,,1,1,,1,11,1,,11,98
2020-03-23,0:00,6,1,24,,,,,1,14,,2,,,,2,1,,13,64
2020-03-24,0:00,4,2,31,1,,,,,15,,1,,,,1,1,,20,76
2020-03-25,0:00,13,1,14,1,,,1,2,21,1,,3,,2,5,,2,34,100
2020-03-26,0:00,13,,26,1,,6,,,14,,1,1,,,12,,,30,104
2020-03-27,0:00,12,1,34,3,1,1,2,,11,,2,,,,9,1,1,13,91
2020-03-28,0:00,18,1,71,5,,,,,21,1,,2,,,2,,1,24,146
2020-03-29,0:00,20,3,23,7,,3,,2,15,2,,1,2,1,2,3,,21,105
2020-03-30,0:00,16,1,14,,,,,,15,2,3,,1,,11,1,1,13,78
2020-03-31,0:00,24,1,60,6,,2,,,13,,,1,,,2,1,,15,125
2020-04-01,0:00,24,3,20,5,4,,,,23,2,,3,1,3,2,4,,7,101
2020-04-02,0:00,14,,21,4,1,,1,,17,1,,2,,2,2,6,,18,89
2020-04-03,0:00,18,,9,1,1,,,,23,2,1,1,1,1,5,1,,22,86
2020-04-04,0:00,22,,27,3,,,,,23,1,,1,,,1,1,,15,94
2020-04-05,0:00,24,,7,2,1,1,,,10,3,,,1,,4,1,3,24,81
2020-04-06,0:00,11,,13,1,,2,,,8,,,1,,,2,2,,7,47
2020-04-07,0:00,4,1,13,,,,,,10,2,,1,,,1,1,,14,47
2020-04-08,0:00,11,2,9,4,,,,,6,2,,,1,,3,1,,14,53
2020-04-09,0:00,12,,4,,,,,,10,,,1,,,,2,,10,39
2020-04-10,0:00,5,1,,1,,,,,9,,,,,,7,,,4,27
2020-04-11,0:00,4,,7,,,,1,,9,,,,,,3,,,6,30
2020-04-12,0:00,3,,2,1,,,,,4,,,1,,,3,,,18,32
2020-04-13,0:00,8,,3,1,,,,,3,,,,,,4,,,6,25
2020-04-14,0:00,2,,3,1,,,1,,8,,,,,,5,,,7,27
2020-04-15,0:00,5,1,1,,1,,,,6,2,,,,,6,,1,4,27
2020-04-16,0:00,2,3,4,,,,,,4,1,,,,,4,,,4,22
2020-04-17,0:00,2,,,1,2,1,,,1,,,,,,4,,,11,22
2020-04-18,0:00,1,,3,1,,-1,,,4,1,,2,,,2,1,,4,18
2020-04-19,0:00,2,,2,1,,,,,,,,,,,1,,,2,8
2020-04-20,0:00,,2,1,1,,,1,,2,,,,,,2,,,4,13
2020-04-21,0:00,2,,2,,,,,,2,,,,,,,,,3,9
2020-04-22,0:00,2,2,1,,,1,,,,,,,,,2,1,,2,11
2020-04-23,0:00,,1,4,,,,,,1,,,,,,,,,2,8
2020-04-24,0:00,,1,2,,,,,,1,,,,,,1,,,1,6
2020-04-25,0:00,1,,3,,,,,,2,,,,,,,,,4,10
2020-04-26,0:00,,1,1,,,,,,6,,,,1,,,,,1,10
2020-04-27,0:00,,,1,,,,,,3,,,1,,,,,,5,10
2020-04-28,0:00,4,,2,1,,,,,3,,,,,,1,,,3,14
2020-04-29,0:00,,,3,,,,,,2,,,1,,,,,,3,9
2020-04-30,0:00,,,,,,,,,,,,,,,,,,4,4
2020-05-01,0:00,1,,,1,,,,,2,,,,,,1,,,4,9
2020-05-02,0:00,1,1,,1,,,,,,,,,,,,,,3,6
2020-05-03,0:00,2,,4,,,,,,2,,,,,,,,,5,13
2020-05-04,0:00,,,,1,,,1,,1,,,,,1,,,,4,8
2020-05-05,0:00,,,,1,,,,,,,,,,,,,,2,3
2020-05-06,0:00,,,,,,,,,,,,,,,,,,2,2
2020-05-07,0:00,,,,,,1,,,1,,1,,,,,,,1,4
2020-05-08,0:00,,2,3,,,,,,2,,1,,1,,,,,3,12
2020-05-09,0:00,12,1,,1,,,,,4,,,,,,,,,,18
2020-05-10,0:00,14,,2,3,,,,,6,,2,,,,,,1,6,34
2020-05-11,0:00,20,,,3,,,,1,4,1,3,,,,,,,3,35
2020-05-12,0:00,12,,1,1,,2,,,8,,,,,,1,1,,1,27
2020-05-13,0:00,12,3,3,2,,,1,,2,,,,1,,,1,,1,26
2020-05-14,0:00,4,,,12,,,,,6,1,3,1,,1,1,,,,29
2020-05-15,0:00,14,,3,5,,,,,3,,,,,1,,,,1,27
2020-05-16,0:00,5,,1,,,,,,4,,1,,,,,,,8,19
2020-05-17,0:00,5,,1,,,1,,,,,,,,,,2,,4,13